0.00000    68517072.00000000 14388.58496094
0.00100    68512672.00000000 22609.18164062
0.00200    68499000.00000000 33907.00781250
0.00300    68475592.00000000 49302.42578125
0.00400    68442896.00000000 61598.60937500
0.00500    68400936.00000000 73873.01562500
0.00600    68349816.00000000 71767.30468750
0.00700    68289288.00000000 81947.14843750
0.00800    68219544.00000000 110515.66406250
0.00900    68140592.00000000 132874.15625000
0.01000    68052672.00000000 134744.29687500
0.01100    67955744.00000000 134552.39062500
0.01200    67849296.00000000 198459.18750000
0.01300    67734048.00000000 213362.25000000
0.01400    67609760.00000000 197758.54687500
0.01500    67476576.00000000 226721.29687500
0.01600    67334232.00000000 188872.53125000
0.01700    67183304.00000000 199534.42187500
0.01800    67023344.00000000 229219.84375000
0.01900    66854744.00000000 200564.25000000
0.02000    66677560.00000000 378061.78125000
0.02100    66491580.00000000 307191.12500000
0.02200    66297072.00000000 228724.92187500
0.02300    66094268.00000000 309321.18750000
0.02400    65883048.00000000 321179.87500000
0.02500    65663448.00000000 358522.43750000
0.02600    65435596.00000000 371019.84375000
0.02700    65199736.00000000 355990.56250000
0.02800    64955620.00000000 310812.65625000
0.02900    64703716.00000000 349400.09375000
0.03000    64443792.00000000 329630.00000000
0.03100    64176328.00000000 431264.93750000
0.03200    63901096.00000000 347941.46875000
0.03300    63618356.00000000 356898.96875000
0.03400    63328184.00000000 332472.96875000
0.03500    63030448.00000000 340364.40625000
0.03600    62725592.00000000 382939.75000000
0.03700    62413588.00000000 391333.18750000
0.03800    62094632.00000000 435904.34375000
0.03900    61768832.00000000 444735.59375000
0.04000    61436228.00000000 604532.50000000
0.04100    61096880.00000000 461892.43750000
0.04200    60751064.00000000 391844.40625000
0.04300    60398888.00000000 398632.68750000
0.04400    60040444.00000000 486327.62500000
0.04500    59675792.00000000 535291.87500000
0.04600    59305100.00000000 627151.50000000
0.04700    58928476.00000000 551570.56250000
0.04800    58546228.00000000 516377.75000000
0.04900    58158364.00000000 436187.75000000
0.05000    57765008.00000000 662853.50000000
0.05100    57366316.00000000 805423.12500000
0.05200    56962496.00000000 452851.84375000
0.05300    56553368.00000000 458082.31250000
0.05400    56139552.00000000 509466.43750000
0.05500    55720972.00000000 655278.68750000
0.05600    55297652.00000000 520074.43750000
0.05700    54869836.00000000 572841.12500000
0.05800    54437852.00000000 722662.50000000
0.05900    54001600.00000000 583217.31250000
0.06000    53561040.00000000 588100.25000000
0.06100    53116960.00000000 740981.62500000
0.06200    52668948.00000000 796354.50000000
0.06300    52217560.00000000 501288.59375000
0.06400    51762496.00000000 504684.37500000
0.06500    51304016.00000000 660282.75000000
0.06600    50842624.00000000 562065.18750000
0.06700    50377980.00000000 616626.50000000
0.06800    49910728.00000000 671548.87500000
0.06900    49440824.00000000 934431.62500000
0.07000    48968088.00000000 573661.12500000
0.07100    48493064.00000000 576097.62500000
0.07200    48015732.00000000 525772.31250000
0.07300    47536476.00000000 685951.43750000
0.07400    47055144.00000000 846992.62500000
0.07500    46572032.00000000 849473.87500000
0.07600    46087100.00000000 691997.87500000
0.07700    45600740.00000000 906998.81250000
0.07800    45113040.00000000 588048.50000000
0.07900    44624084.00000000 589037.93750000
0.08000    44134024.00000000 589851.25000000
0.08100    43643092.00000000 805215.06250000
0.08200    43151324.00000000 644680.81250000
0.08300    42658796.00000000 1021251.62500000
0.08400    42165748.00000000 645136.00000000
0.08500    41672468.00000000 537574.81250000
0.08600    41178856.00000000 752337.75000000
0.08700    40685156.00000000 590748.50000000
0.08800    40191504.00000000 536556.62500000
0.08900    39698076.00000000 643108.81250000
0.09000    39204744.00000000 802717.18750000
0.09100    38712032.00000000 534226.06250000
0.09200    38219640.00000000 639796.81250000
0.09300    37728148.00000000 638360.25000000
0.09400    37237248.00000000 636757.00000000
0.09500    36747424.00000000 793744.43750000
0.09600    36258592.00000000 738587.50000000
0.09700    35770972.00000000 683583.31250000
0.09800    35284576.00000000 523975.96875000
0.09900    34799712.00000000 835193.12500000
0.10000    34316280.00000000 571880.81250000
0.10100    33834504.00000000 776501.87500000
0.10200    33354456.00000000 927587.50000000
0.10300    32876224.00000000 718016.81250000
0.10400    32399880.00000000 561327.93750000
0.10500    31925836.00000000 609145.00000000
0.10600    31453820.00000000 807734.12500000
0.10700    30984086.00000000 803107.56250000
0.10800    30516656.00000000 598736.81250000
0.10900    30051742.00000000 644609.87500000
0.11000    29589404.00000000 640462.68750000
0.11100    29129622.00000000 489377.68750000
0.11200    28672622.00000000 583201.12500000
0.11300    28218480.00000000 530789.62500000
0.11400    27767214.00000000 622679.81250000
0.11500    27318990.00000000 522885.46875000
0.11600    26873812.00000000 565962.50000000
0.11700    26431810.00000000 514627.37500000
0.11800    25992940.00000000 510371.40625000
0.11900    25557402.00000000 506036.56250000
0.12000    25125188.00000000 547226.62500000
0.12100    24696572.00000000 497142.03125000
0.12200    24271274.00000000 626927.06250000
0.12300    23849660.00000000 709765.87500000
0.12400    23431668.00000000 571146.93750000
0.12500    23017222.00000000 565533.12500000
0.12600    22606670.00000000 602919.87500000
0.12700    22199814.00000000 468860.09375000
0.12800    21796840.00000000 506122.65625000
0.12900    21397866.00000000 417258.40625000
0.13000    21002696.00000000 536513.93750000
0.13100    20611570.00000000 448920.03125000
0.13200    20224464.00000000 524521.50000000
0.13300    19841440.00000000 518456.84375000
0.13400    19462474.00000000 394115.09375000
0.13500    19087720.00000000 584084.25000000
0.13600    18717128.00000000 576955.50000000
0.13700    18350782.00000000 455833.46875000
0.13800    17988562.00000000 375061.56250000
